track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Genesis; Justice; 2007-06-11; spotify:album:4GGazqHvuKwxBjWLFaJkDL; Justice; spotify:artist:1gR0gsQYfi6joyO1dlp76N; 234960; 60; 1; spotify:track:4wSmqFg31t6LsQWtzYAJob; 0.693; 0.789; 9; 1; -5.13; 0.384; 0.0168; 0.366; 0.0985; 0.283; 117.055; 4
618; Pentagram; 2018-06-15; spotify:album:339J9hyRpfNw5RAhmdcauO; Gui Boratto; spotify:artist:27LGatz1m8aJ7ZaVVWEphc; 378000; 26; 12; spotify:track:7whTyApPAMKABET3Z0xnJj; 0.667; 0.517; 8; 1; -12.892; 0.0465; 0.225; 0.917; 0.145; 0.0514; 127.992; 4
We Are Your Friends - Justice Vs Simian; We Are Your Friends; 2006-01-01; spotify:album:1M9rUTZKBvDhKIqK9rNxLi; Justice; spotify:artist:1gR0gsQYfi6joyO1dlp76N; 262773; 61; 1; spotify:track:49ErwcBYfYRPNBdRuPvpYA; 0.615; 0.97; 9; 0; 1.342; 0.119; 0.0104; 0.384; 0.178; 0.507; 122.993; 4
Sun; Swim; 2010-04-20; spotify:album:3gkW0gOyovtdcscDX6WZ6O; Caribou; spotify:artist:4aEnNH9PuU1HF3TsZTru54; 344999; 38; 2; spotify:track:3yb4akoM3pD2epSSrfx9Es; 0.687; 0.802; 1; 1; -7.6; 0.0367; 0.0361; 0.749; 0.204; 0.439; 127.991; 4
暗淡的光辉; 福到I——大福唱片一周年合辑; 2016-01-15; spotify:album:0LnJzC5gcHjGHIIvm4Oyeu; MHP; spotify:artist:1Pd2FftbJaGqoi1QVqfXM2; 330461; 0; 3; spotify:track:6CO8bolvLctcPvOfoPzHKE; 0.779; 0.888; 1; 1; -8.931; 0.0925; 0.00954; 0.48; 0.318; 0.439; 129.991; 4
日出東方 唯我不敗; 東方不敗; 2017-05-19; spotify:album:57z5w3F98kxoAjSrSK4oNs; Tzusing; spotify:artist:7Ifvnt1HhJ0b1QwOxLAu2s; 311541; 38; 1; spotify:track:7A1d0qBQL2IiDhrDrhUqE8; 0.558; 0.729; 6; 1; -10.958; 0.0341; 0.000694; 0.894; 0.105; 0.167; 119.965; 4
Between the Buttons; Angel; 2014-10-22; spotify:album:5KoHnYeAGVnMr2F9wBO0ZC; French 79; spotify:artist:6MJKlN8ya42Agsw3iQZs6e; 317106; 53; 3; spotify:track:4X6wlKIW5Zs0q9FuT9bCWp; 0.16; 0.386; 5; 0; -12.019; 0.0361; 0.171; 0.68; 0.0974; 0.0348; 90.379; 4
Heads Will Roll - A-Trak Remix; Heads Will Roll; 2009; spotify:album:4HYlbaWDkCNXXNWQEYl9sV; Yeah Yeah Yeahs; spotify:artist:3TNt4aUIxgfy9aoaft5Jj2; 383546; 60; 1; spotify:track:2idmlkd8oUaQvYEtINpLBX; 0.744; 0.614; 1; 0; -3.908; 0.0838; 0.00685; 0.334; 0.0708; 0.774; 131.994; 4
Dans la radio; Dans la radio; 2016-06-24; spotify:album:2wc5QnnWNKU4BjguI6bxAD; Jacques; spotify:artist:55i4AnS7E58y41UwE0vvQh; 201001; 0; 1; spotify:track:74vC2Fgj1JSmTccT2UOtSr; 0.581; 0.738; 0; 1; -6.501; 0.0941; 0.0743; 0.0291; 0.0873; 0.26; 138.054; 4
Dead Living Things; Glow; 2013-09-02; spotify:album:1lEzCf2cNZKXdyfQp5ZQ6T; Jackson And His Computer Band; spotify:artist:7Jdjjb3kJWyPmV5MbdVdTv; 285042; 36; 3; spotify:track:50XA0BH4DJux5xJCXzBduW; 0.395; 0.6; 8; 1; -8.614; 0.0318; 5.93e-05; 0.194; 0.25; 0.258; 135.916; 4
