track_name; album_name; release_date; album_uri; artists; artist_uri; duration_ms; popularity; track_number; track_uri; danceability; energy; key; mode; loudness; speechiness; acousticness; instrumentalness; liveness; valence; tempo; time_signature
Everybody; Circles; 2020-01-17; spotify:album:5sY6UIQ32GqwMLAfSNEaXb; Mac Miller; spotify:artist:4LLpKhyESsyAXpc4laK94U; 256506; 63; 6; spotify:track:1OuN92HcVG6NVpWbeESNB3; 0.875; 0.599; 9; 0; -9.077; 0.138; 0.0333; 0.0143; 0.113; 0.112; 152.061; 4
Cigarette Daydreams; Melophobia; 2013-10-08; spotify:album:4EK8gtQfdVsmDTji7gBFlz; Cage The Elephant; spotify:artist:26T3LtbuGT1Fu9m0eRq5X3; 208760; 73; 10; spotify:track:2tznHmp70DxMyr2XhWLOW0; 0.635; 0.675; 2; 1; -3.445; 0.0263; 0.0801; 0; 0.0831; 0.273; 113.946; 4
Lady Lady; Lady Lady; 2018-09-07; spotify:album:2wqG59dVVQlJaxoO7N0LJt; Masego; spotify:artist:3ycxRkcZ67ALN3GQJ57Vig; 154666; 47; 10; spotify:track:4q4kOEBru4PwKNUI8T8t1P; 0.638; 0.666; 2; 1; -5.238; 0.248; 0.308; 6.97e-06; 0.202; 0.465; 99.178; 4
Silverscreen; Silverscreen; 2016-08-05; spotify:album:1W3sLPOBQhU9Lv3s1wyqb2; PANG!; spotify:artist:6TlN75Ns66CyxBuZ7i3TK3; 177135; 28; 1; spotify:track:3SpzDw0jnU7Z7s6At7wPcA; 0.771; 0.492; 6; 0; -11.829; 0.0393; 0.0367; 0.0027; 0.079; 0.262; 118.013; 4
Wake Up; End Credits; 2015-08-19; spotify:album:5eESUGzjysOJC0S2y2KwYn; EDEN; spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt; 279827; 64; 6; spotify:track:6K6OCvFQ4i7KKfGJsOAqY1; 0.387; 0.376; 9; 0; -6.743; 0.0338; 0.881; 0; 0.851; 0.395; 116.667; 3
Fais rien (Club Edit); Fabrique Club; 2015-03-30; spotify:album:3cMqUTOYVLlZAhFlhSqW4q; Moi Je; spotify:artist:2lmGTNC0PsE7j5KDO9POvW; 297049; 4; 4; spotify:track:42mjyT20ukFvzyEDc7F1Cd; 0.954; 0.621; 2; 1; -6.847; 0.0718; 0.0288; 0.0564; 0.0197; 0.966; 122.041; 4
Full Circle; Full Circle; 2015-08-06; spotify:album:1HfoBMdOby33PIexzQhS88; Quinn XCII; spotify:artist:3ApUX1o6oSz321MMECyIYd; 217836; 61; 1; spotify:track:2uHSDyFByIUeTUAxZCTRp0; 0.751; 0.547; 1; 1; -7.898; 0.138; 0.202; 0; 0.102; 0.481; 78.007; 4
Swiss; Magic Hour; 2018-06-15; spotify:album:7zNjkbUw9W437ZcH5k6oSZ; NGHTMRE; spotify:artist:76M2Ekj8bG8W7X2nbx2CpF; 220800; 50; 1; spotify:track:7p7BGeakamC7IzCUENw2fr; 0.657; 0.745; 8; 0; -5.557; 0.285; 0.0788; 0; 0.118; 0.185; 150.064; 4
Excuse Me Mr Sir (feat. Vargas & Lagola); TIM; 2019-06-06; spotify:album:6Ad1E9vl75ZB3Ir87zwXIJ; Avicii; spotify:artist:1vCWHaC5f2uS3yhpwWbIA6; 187752; 58; 9; spotify:track:5dVUSdsePmEKkq4ryfrobU; 0.464; 0.672; 2; 1; -6.064; 0.0727; 0.127; 0.00299; 0.322; 0.492; 114.708; 3
Ain't A Thing (feat. Bonn); TIM; 2019-06-06; spotify:album:6Ad1E9vl75ZB3Ir87zwXIJ; Avicii; spotify:artist:1vCWHaC5f2uS3yhpwWbIA6; 183660; 61; 6; spotify:track:3MhNgzZwFtUF6jSr6pRSkW; 0.454; 0.423; 9; 1; -7.286; 0.0552; 0.544; 0; 0.0538; 0.245; 170.162; 4
